Batch	rate038.rre				
3565.000	0.132	3565.000	0.167	3565.000	0.174
3596.000	0.133	3596.000	0.168	3596.000	0.175
3627.000	0.133	3627.000	0.168	3627.000	0.176
3658.000	0.133	3658.000	0.169	3658.000	0.177
3689.000	0.134	3689.000	0.170	3689.000	0.178
3720.000	0.135	3720.000	0.170	3720.000	0.179
3751.000	0.135	3751.000	0.171	3751.000	0.180
3782.000	0.136	3782.000	0.172	3782.000	0.180
3813.000	0.136	3813.000	0.173	3813.000	0.180
3844.000	0.136	3844.000	0.173	3844.000	0.182
3875.000	0.137	3875.000	0.174	3875.000	0.182
3906.000	0.137	3906.000	0.174	3906.000	0.183
3937.000	0.138	3937.000	0.175	3937.000	0.184
3968.000	0.139	3968.000	0.176	3968.000	0.185
3999.000	0.139	3999.000	0.176	3999.000	0.185
4030.000	0.139	4030.000	0.177	4030.000	0.186
4061.000	0.140	4061.000	0.178	4061.000	0.187
4092.000	0.140	4092.000	0.178	4092.000	0.188
4123.000	0.141	4123.000	0.179	4123.000	0.189
4154.000	0.141	4154.000	0.180	4154.000	0.189
4185.000	0.142	4185.000	0.180	4185.000	0.190
4216.000	0.142	4216.000	0.181	4216.000	0.191
4247.000	0.142	4247.000	0.181	4247.000	0.192
4278.000	0.143	4278.000	0.182	4278.000	0.192
4309.000	0.143	4309.000	0.183	4309.000	0.193
4340.000	0.143	4340.000	0.183	4340.000	0.194
4371.000	0.144	4371.000	0.184	4371.000	0.195
4402.000	0.144	4402.000	0.185	4402.000	0.195
4433.000	0.145	4433.000	0.185	4433.000	0.196
4464.000	0.145	4464.000	0.186	4464.000	0.196
4495.000	0.145	4495.000	0.186	4495.000	0.197
4526.000	0.145	4526.000	0.187	4526.000	0.198
4557.000	0.146	4557.000	0.187	4557.000	0.199
4588.000	0.147	4588.000	0.188	4588.000	0.199
4619.000	0.147	4619.000	0.188	4619.000	0.200
4650.000	0.147	4650.000	0.189	4650.000	0.201
4681.000	0.148	4681.000	0.189	4681.000	0.201
4712.000	0.148	4712.000	0.190	4712.000	0.202
4743.000	0.149	4743.000	0.191	4743.000	0.203
4774.000	0.149	4774.000	0.191	4774.000	0.204
4805.000	0.149	4805.000	0.192	4805.000	0.204
4836.000	0.150	4836.000	0.192	4836.000	0.204
4867.000	0.150	4867.000	0.193	4867.000	0.205
4898.000	0.150	4898.000	0.193	4898.000	0.206
4929.000	0.150	4929.000	0.194	4929.000	0.206
4960.000	0.151	4960.000	0.194	4960.000	0.207
4991.000	0.151	4991.000	0.195	4991.000	0.208
5022.000	0.152	5022.000	0.196	5022.000	0.208
5053.000	0.152	5053.000	0.196	5053.000	0.209
5084.000	0.152	5084.000	0.196	5084.000	0.210
5115.000	0.153	5115.000	0.197	5115.000	0.210
5146.000	0.153	5146.000	0.197	5146.000	0.211
5177.000	0.153	5177.000	0.198	5177.000	0.211
5208.000	0.153	5208.000	0.198	5208.000	0.212
5239.000	0.154	5239.000	0.199	5239.000	0.213
5270.000	0.154	5270.000	0.199	5270.000	0.213
5301.000	0.155	5301.000	0.200	5301.000	0.214
5332.000	0.155	5332.000	0.200	5332.000	0.214
5363.000	0.155	5363.000	0.201	5363.000	0.215
5394.000	0.156	5394.000	0.201	5394.000	0.215
5425.000	0.156	5425.000	0.202	5425.000	0.216
5456.000	0.156	5456.000	0.202	5456.000	0.217
5487.000	0.157	5487.000	0.203	5487.000	0.218
5518.000	0.157	5518.000	0.203	5518.000	0.218
5549.000	0.157	5549.000	0.203	5549.000	0.219
5580.000	0.157	5580.000	0.204	5580.000	0.219
5611.000	0.158	5611.000	0.204	5611.000	0.220
5642.000	0.158	5642.000	0.205	5642.000	0.220
5673.000	0.158	5673.000	0.205	5673.000	0.221
5704.000	0.158	5704.000	0.206	5704.000	0.221
5735.000	0.159	5735.000	0.206	5735.000	0.222
5766.000	0.159	5766.000	0.207	5766.000	0.222
5797.000	0.159	5797.000	0.207	5797.000	0.223
5828.000	0.160	5828.000	0.207	5828.000	0.224
5859.000	0.160	5859.000	0.208	5859.000	0.224
5890.000	0.160	5890.000	0.208	5890.000	0.225
5921.000	0.160	5921.000	0.209	5921.000	0.225
5952.000	0.161	5952.000	0.209	5952.000	0.225
5983.000	0.161	5983.000	0.209	5983.000	0.226
6014.000	0.161	6014.000	0.210	6014.000	0.227
6045.000	0.162	6045.000	0.210	6045.000	0.227
6076.000	0.162	6076.000	0.211	6076.000	0.227
6107.000	0.162	6107.000	0.211	6107.000	0.228
6138.000	0.162	6138.000	0.212	6138.000	0.228
6169.000	0.162	6169.000	0.212	6169.000	0.229
6200.000	0.163	6200.000	0.212	6200.000	0.230
6231.000	0.163	6231.000	0.213	6231.000	0.230
6262.000	0.163	6262.000	0.213	6262.000	0.231
6293.000	0.164	6293.000	0.214	6293.000	0.231
6324.000	0.164	6324.000	0.214	6324.000	0.231
6355.000	0.164	6355.000	0.214	6355.000	0.232
6386.000	0.164	6386.000	0.215	6386.000	0.233
6417.000	0.164	6417.000	0.215	6417.000	0.233
6448.000	0.165	6448.000	0.215	6448.000	0.233
6479.000	0.165	6479.000	0.216	6479.000	0.234
6510.000	0.165	6510.000	0.216	6510.000	0.234
6541.000	0.165	6541.000	0.217	6541.000	0.235
6572.000	0.166	6572.000	0.217	6572.000	0.236
6603.000	0.166	6603.000	0.217	6603.000	0.236
6634.000	0.166	6634.000	0.218	6634.000	0.236
6665.000	0.166	6665.000	0.218	6665.000	0.237
6696.000	0.167	6696.000	0.218	6696.000	0.237
6727.000	0.167	6727.000	0.219	6727.000	0.238
6758.000	0.167	6758.000	0.219	6758.000	0.239
6789.000	0.167	6789.000	0.220	6789.000	0.239
6820.000	0.167	6820.000	0.220	6820.000	0.239
6851.000	0.168	6851.000	0.220	6851.000	0.240
6882.000	0.168	6882.000	0.221	6882.000	0.240
6913.000	0.168	6913.000	0.221	6913.000	0.241
6944.000	0.168	6944.000	0.221	6944.000	0.241
6975.000	0.169	6975.000	0.222	6975.000	0.242
7006.000	0.169	7006.000	0.222	7006.000	0.242
7037.000	0.169	7037.000	0.222	7037.000	0.242
7068.000	0.169	7068.000	0.223	7068.000	0.243
7099.000	0.169	7099.000	0.223	7099.000	0.243
7130.000	0.169	7130.000	0.223	7130.000	0.244
7161.000	0.170	7161.000	0.224	7161.000	0.244
7192.000	0.170	7192.000	0.224	7192.000	0.245
					
					
					
