experiment,substrate,buffer,pH,T,has_enzyme,n_samples,abs_nm,e_declared,status,exclude_reason,accepted_deviations,accepted_deviation_reason,provenance,open_questions,xls_file,notes
13,4OMe-BnOH,Boric,9.5,25.0,True,4,300.0,7.53,use,,,,pH=filename;T=filename;substrate=filename;buffer=filename;has_enzyme=filename,,mads_t013_t=25_pH=9.5_Boric acid_4OMe-BnOH_with_E.xls,
14,4OMe-BnOH,Phosphate,7.0,25.0,True,4,300.0,7.53,use,,,,pH=filename;T=filename;substrate=filename;buffer=filename;has_enzyme=filename,,mads_t014_t=25_pH=7.00_Phosphat_4OMe-BnOH_with_E.xls,
15,4OMe-BnOH,Phosphate,7.0,35.0,True,4,300.0,7.53,use,,,,pH=filename;T=filename;substrate=filename;buffer=filename;has_enzyme=filename,,mads_t015_t=35_pH=7.00_Phosphat_4OMe-BnOH_with_E.xls,
16,4OMe-BnOH,Phosphate,7.0,40.0,True,4,300.0,7.53,use,,,,pH=filename;T=filename;substrate=filename;buffer=filename;has_enzyme=filename,,mads_t016_t=40_pH=7.00_Phosphat_4OMe-BnOH_with_E.xls,
17,4OMe-BnOH,Phosphate,7.0,30.0,True,4,300.0,7.53,use,,,,pH=filename;T=filename;substrate=filename;buffer=filename;has_enzyme=filename,,mads_t017_t=30_pH=7.00_Phosphat_4OMe-BnOH_with_E.xls,
18,4OMe-BnOH,Phosphate,7.0,20.0,True,4,300.0,7.53,use,,,,pH=filename;T=filename;substrate=filename;buffer=filename;has_enzyme=filename,,mads_t018_t=20_pH=7.00_Phosphat_4OMe-BnOH_with_E.xls,
19,4OMe-BnOH,Phosphate,7.0,15.0,True,4,300.0,7.53,use,,,,pH=filename;T=filename;substrate=filename;buffer=filename;has_enzyme=filename,,mads_t019_t=15_pH=7.00_Phosphat_4OMe-BnOH_with_E.xls,
20,4OMe-BnOH,Phosphate,7.5,25.0,True,4,300.0,7.53,use,,,,pH=filename;T=filename;substrate=filename;buffer=filename;has_enzyme=filename,,mads_t020_t=25_pH=7.50_Phosphat_4OMe-BnOH_with_E.xls,
21,4OMe-BnOH,Phosphate,8.5,25.0,True,4,300.0,7.53,use,,,,pH=filename;T=filename;substrate=filename;buffer=filename;has_enzyme=filename,,mads_t021_t=25_pH=8.50_Phosphat_4OMe-BnOH_with_E.xls,
22,4OMe-BnOH,Phosphate,6.5,25.0,True,4,300.0,7.53,use,,,,pH=filename;T=filename;substrate=filename;buffer=filename;has_enzyme=filename,,mads_t022_t=25_pH=6.50_Phosphat_4OMe-BnOH_with_E.xls,
23,4OMe-BnOH,Phosphate,7.0,40.0,False,4,300.0,7.53,use,,,,pH=filename;T=filename;substrate=filename;buffer=filename;has_enzyme=folder,,mads_t023_t=40_pH=7.00_Phosphat_4OMe-BnOH_with_NO_E.xls,
24,4OMe-BnOH,Phosphate,7.0,40.0,False,4,300.0,7.53,use,,,,pH=filename;T=filename;substrate=filename;buffer=filename;has_enzyme=folder,,mads_t024_t=40_pH=7.00_Phosphat_4OMe-BnOH_with_NO_E.xls,
25,4OMe-BnOH,Phosphate,7.0,40.0,False,4,300.0,7.53,use,,,,pH=filename;T=filename;substrate=filename;buffer=filename;has_enzyme=folder,,mads_t025_t=40_pH=7.00_Phosphat_4OMe-BnOH_with_NO_E.xls,
26,4OMe-BnOH,Phosphate,7.0,40.0,False,4,300.0,7.53,use,,,,pH=filename;T=filename;substrate=filename;buffer=filename;has_enzyme=folder,,mads_t026_t=40_pH=7.00_Phosphat_4OMe-BnOH_with_NO_E.xls,
27,4OMe-BnOH,Phosphate,7.0,40.0,False,4,300.0,7.53,use,,,,pH=filename;T=filename;substrate=filename;buffer=filename;has_enzyme=folder,,mads_t027_t=40_pH=7.00_Phosphat_4OMe-BnOH_with_NO_E.xls,
28,4OMe-BnOH,Phosphate,7.0,40.0,False,4,300.0,7.53,use,,,,pH=filename;T=filename;substrate=filename;buffer=filename;has_enzyme=folder,,mads_t028_t=40_pH=7.00_Phosphat_4OMe-BnOH_with_NO_E.xls,
29,4OMe-BnOH,Phosphate,7.0,40.0,False,4,300.0,7.53,use,,,,pH=filename;T=filename;substrate=filename;buffer=filename;has_enzyme=folder,,mads_t029_t=40_pH=7.00_Phosphat_4OMe-BnOH_with_NO_E.xls,
30,4OMe-BnOH,Phosphate,7.0,40.0,False,4,300.0,7.53,use,,,,pH=filename;T=filename;substrate=filename;buffer=filename;has_enzyme=folder,,mads_t030_t=40_pH=7.00_Phosphat_4OMe-BnOH_with_NO_E.xls,
31,4OMe-BnOH,Phosphate,7.0,35.0,False,4,300.0,7.53,use,,,,pH=filename;T=filename;substrate=filename;buffer=filename;has_enzyme=folder,,mads_t031_t=35_pH=7.00_Phosphat_4OMe-BnOH_with_NO_E.xls,
32,4OMe-BnOH,Phosphate,7.0,40.0,False,4,300.0,7.53,use,,,,pH=filename;T=filename;substrate=extracted;buffer=filename;has_enzyme=folder,,mads_t032_t=40_pH=7.00_Phosphat_0.1_0.2_0.xls,
34,4OMe-BnOH,Phosphate,7.0,40.0,False,4,300.0,7.53,use,,,,pH=filename;T=filename;substrate=filename;buffer=filename;has_enzyme=folder,,mads_t034_t=40_pH=7.00_Phosphat_0.05_0.025_0.0125_0.00625_4OMe-BnOH_with_NO_E.xls,
35,4OMe-BnOH,Phosphate,7.5,40.0,False,4,300.0,7.53,use,,,,pH=filename;T=filename;substrate=filename;buffer=filename;has_enzyme=folder,,mads_t035_t=40_pH=7.50_Phosphat_0.1_0.2_0.3_0.4_4OMe-BnOH_with_NO_E.xls,
36,4OMe-BnOH,Phosphate,7.53,40.0,False,4,300.0,7.53,use,,,,pH=filename;T=filename;substrate=filename;buffer=filename;has_enzyme=folder,,mads_t036_t=40_pH=7.53_Phosphat_0.1_0.2_0.3_0.4_4OMe-BnOH_with_NO_E.xls,
37,4OMe-BnOH,Phosphate,7.53,40.0,False,4,300.0,7.53,use,,,,pH=filename;T=filename;substrate=filename;buffer=filename;has_enzyme=folder,,mads_t037_t=40_pH=7.53_Phosphat_0.1_0.2_0.3_0.4_4OMe-BnOH_with_NO_E.xls,
38,4OMe-BnOH,Phosphate,7.0,40.0,False,3,300.0,7.53,use,,,,pH=extracted (disputed);T=filename;substrate=filename;buffer=filename;has_enzyme=folder,"pH: filename says 6.97, extraction says 7",mads_t038_t=40_pH=6.97_Phosphat_4OMe-BnOH_with_NO_E.xls,
39,4OMe-BnOH,Phosphate,6.97,40.0,False,4,300.0,7.53,use,,,,pH=filename;T=filename;substrate=filename;buffer=filename;has_enzyme=folder,,mads_t039_t=40_pH=6.97_Phosphat_4OMe-BnOH_with_NO_E.xls,
40,4OMe-BnOH,Phosphate,6.97,25.0,False,4,300.0,7.53,use,,,,pH=filename;T=filename;substrate=filename;buffer=filename;has_enzyme=folder,,mads_t040_t=25_pH=6.97_Phosphat_4OMe-BnOH_with_NO_E.xls,
41,4OMe-BnOH,Boric,8.46,25.0,True,4,300.0,7.53,use,,,,pH=filename;T=filename;substrate=filename;buffer=filename;has_enzyme=filename,,mads_t041_t=25_pH=8.46_B(OH)3_0.1M_4OMe-BnOH_with_E.xls,
42,4OMe-BnOH,Boric,8.98,25.0,True,4,300.0,7.53,use,,,,pH=filename;T=filename;substrate=filename;buffer=filename;has_enzyme=filename,,mads_t042_t=25_pH=8.98_B(OH)3_0.1M_4OMe-BnOH_with_E.xls,
43,4OMe-BnOH,Boric,9.5,25.0,True,4,300.0,7.53,use,,,,pH=filename;T=filename;substrate=filename;buffer=filename;has_enzyme=filename,,mads_t043_t=25_pH=9.50_B(OH)3_0.1M_4OMe-BnOH_with_E.xls,
44,4OMe-BnOH,Boric,10.07,25.0,True,4,300.0,7.53,use,,,,pH=filename;T=filename;substrate=filename;buffer=filename;has_enzyme=filename,,mads_t044_t=25_pH=10.07_B(OH)3_0.1M_4OMe-BnOH_with_E.xls,
45,4OMe-BnOH,Boric,9.7,25.0,True,4,300.0,7.53,use,,,,pH=filename;T=filename;substrate=filename;buffer=filename;has_enzyme=filename,,mads_t045_t=25_pH=9.7_B(OH)3_0.1M_4OMe-BnOH_with_E.xls,
46,4OMe-BnOH,Boric,9.23,25.0,True,4,300.0,7.53,use,,,,pH=filename;T=filename;substrate=filename;buffer=filename;has_enzyme=filename,,mads_t046_t=25_pH=9.23_B(OH)3_0.1M_4OMe-BnOH_with_E.xls,
47,4OMe-BnOH,Boric,9.4,25.0,True,4,300.0,7.53,use,,,,pH=filename;T=filename;substrate=filename;buffer=filename;has_enzyme=filename,,mads_t047_t=25_pH=9.40_B(OH)3_0.1M_4OMe-BnOH_with_E.xls,
48,4OMe-BnOH,Boric,9.51,25.0,True,4,300.0,7.53,use,,,,pH=filename;T=filename;substrate=filename;buffer=filename;has_enzyme=filename,,mads_t048_t=25_pH=9.51_B(OH)3_0.1M_4OMe-BnOH_with_E.xls,
49,4OMe-BnOH,Boric,10.34,25.0,True,4,300.0,7.53,use,,,,pH=filename;T=filename;substrate=filename;buffer=filename;has_enzyme=filename,,mads_t049_t=25_pH=10.34_B(OH)3_0.1M_4OMe-BnOH_with_E.xls,
50,BnOH,Boric,9.7,25.0,True,4,285.0,1.23,use,,,,pH=filename;T=filename;substrate=filename;buffer=filename;has_enzyme=filename,,mads_t050_t=25_pH=9.70_B(OH)3_0.1M_BnOH_with_E.xls,
51,BnOH,Boric,9.01,25.0,True,4,285.0,1.23,use,,,,pH=filename;T=filename;substrate=filename;buffer=filename;has_enzyme=filename,,mads_t051_t=25_pH=9.01_B(OH)3_0.1M_BnOH_with_E.xls,
52,4OMe-BnOH,Phosphate,7.5,25.0,False,4,300.0,7.53,use,,,,pH=filename;T=filename;substrate=filename;buffer=filename;has_enzyme=folder,,mads_t052_t=25_pH=7.5_Phosphat_4OMe-BnOH_with_NO_E.xls,
55,BnOH,Boric,9.7,25.0,True,4,285.0,1.23,use,,,,pH=filename;T=filename;substrate=filename;buffer=filename;has_enzyme=filename,,mads_t055_t=25_pH=9.7_B(OH)3_0.1M_BnOH_with_E.xls,
57,4OMe-BnOH,Carbonate,9.48,25.0,True,4,285.0,1.59,use,,,,pH=filename;T=filename;substrate=filename;buffer=filename;has_enzyme=filename,"e_declared: sheet says e = 1.59 at 285 nm, dataset uses the hardcoded 7.53 (4.74x); IN USE, so every concentration would be affected",mads_t057_t=25_pH=9.48_CO3_0.1M_4-MeOH-BnOH_with_E.xls,
58,4OMe-BnOH,Carbonate,9.48,25.0,True,4,285.0,1.59,exclude,reaction-direction: whole experiment runs backwards,,,pH=filename;T=filename;substrate=filename;buffer=filename;has_enzyme=filename,"e_declared: sheet says e = 1.59 at 285 nm, dataset uses the hardcoded 7.53 (4.74x); experiment is excluded, so consequence-free",mads_t058_t=25_pH=9.48_CO3_0.1M_4-MeOH-BnOH_with_E.xls,
59,BnOH,Boric,8.51,25.0,True,4,285.0,1.23,use,,,,pH=filename;T=filename;substrate=filename;buffer=filename;has_enzyme=filename,,mads_t059_t=25_pH=8.51_Boric_acid_0.1M_BnOH_with_E.xls,
60,BnOH,Boric,8.51,25.0,True,4,285.0,1.23,use,,,,pH=filename;T=filename;substrate=filename;buffer=filename;has_enzyme=filename,,mads_t060_t=25_pH=8.51_Boric_acid_0.1M_BnOH_with_E.xls,
61,BnOH,Boric,8.75,25.0,True,4,285.0,1.23,use,,,,pH=filename;T=filename;substrate=filename;buffer=filename;has_enzyme=filename,,mads_t061_t=25_pH=8.75_Boric_acid_0.1M_BnOH_with_E.xls,
62,BnOH,Boric,9.0,25.0,True,4,285.0,1.23,use,,,,pH=filename;T=filename;substrate=filename;buffer=filename;has_enzyme=filename,,mads_t062_t=25_pH=9.00_Boric_acid_0.1M_BnOH_with_E.xls,
65,BnOH,Boric,8.51,25.0,False,4,285.0,1.23,use,,,,pH=filename;T=filename;substrate=filename;buffer=filename;has_enzyme=folder,,mads_t065_t=25_pH=8.51_Boric_acid_0.1M_BnOH_no_E_H2O2_122.xls,
66,BnOH,Boric,8.51,25.0,True,4,285.0,1.23,use,,,,pH=filename;T=filename;substrate=filename;buffer=filename;has_enzyme=filename,,mads_t066_t=25_pH=8.51_Boric_acid_0.1M_BnOH_with_E_H2O2_122.xls,
67,BnOH,Phosphate,8.01,25.0,False,4,285.0,1.23,use,,,,pH=filename;T=filename;substrate=filename;buffer=filename;has_enzyme=folder,,mads_t067_t=25_pH=8.01_phosphate_0.1M_BnOH_no_E_H2O2_122.xls,
68,BnOH,Phosphate,8.01,25.0,True,4,285.0,1.23,use,,,,pH=filename;T=filename;substrate=filename;buffer=filename;has_enzyme=filename,,mads_t068_t=25_pH=8.01_phosphate_0.1M_BnOH_with_E_H2O2_122.xls,
69,BnOH,Phosphate,8.01,25.0,False,4,285.0,1.23,use,,,,pH=filename;T=filename;substrate=filename;buffer=filename;has_enzyme=folder,,mads_t069_t=25_pH=8.01_phosphate_0.1M_BnOH_no_E_H2O2_122.xls,
70,BnOH,Phosphate,8.01,25.0,False,4,285.0,1.23,use,,,,pH=filename;T=filename;substrate=filename;buffer=filename;has_enzyme=folder,,mads_t070_t=25_pH=8.01_phosphate_0.1M_BnOH_no_E_H2O2_122.xls,
71,BnOH,Phosphate,8.01,25.0,True,4,285.0,1.23,use,,,,pH=filename;T=filename;substrate=filename;buffer=filename;has_enzyme=filename,,mads_t071_t=25_pH=8.01_phosphate_0.1M_BnOH_with_E_H2O2_122.xls,
72,BnOH,Phosphate,7.0,25.0,True,4,285.0,1.23,exclude,flat progress curves in every sample; same-day sibling 71 normal,,,pH=filename;T=filename;substrate=filename;buffer=filename;has_enzyme=filename,,mads_t072_t=25_pH=7.0_phosphate_0.1M_BnOH_with_E_H2O2_122.xls,
73,BnOH,Phosphate,7.5,25.0,True,4,285.0,1.23,use,,,,pH=filename;T=filename;substrate=filename;buffer=filename;has_enzyme=filename,,mads_t073_t=25_pH=7.5_phosphate_0.1M_BnOH_with_E_H2O2_122.xls,
74,BnOH,Phosphate,8.0,25.0,True,4,285.0,1.23,use,,,,pH=filename;T=filename;substrate=filename;buffer=filename;has_enzyme=filename,,mads_t074_t=25_pH=8.00_phosphate_0.1M_BnOH_with_E_H2O2_122.xls,
75,BnOH,Pyrophosphate,8.5,25.0,True,4,285.0,1.23,use,,,,pH=filename;T=filename;substrate=filename;buffer=filename;has_enzyme=filename,,mads_t075_t=25_pH=8.50_pyrophosphate_0.1M_BnOH_with_E_H2O2_122.xls,
76,BnOH,Pyrophosphate,9.02,25.0,True,4,285.0,1.23,use,,,,pH=filename;T=filename;substrate=filename;buffer=filename;has_enzyme=filename,,mads_t076_t=25_pH=9.02_pyrophosphate_0.1M_BnOH_with_E_H2O2_122.xls,
77,BnOH,Carbonate,9.5,25.0,True,4,285.0,1.23,exclude,reaction-direction: whole experiment runs backwards,,,pH=filename;T=filename;substrate=filename;buffer=filename;has_enzyme=filename,,mads_t077_t=25_pH=9.5_carbonate_0.1M_BnOH_with_E_H2O2_122.xls,
78,BnOH,Carbonate,9.4,25.0,True,4,285.0,1.23,exclude,reaction-direction: whole experiment runs backwards,,,pH=filename;T=filename;substrate=filename;buffer=filename;has_enzyme=filename,,mads_t078_t=25_pH=9.4_carbonate_0.1M_BnOH_with_E_H2O2_122.xls,
79,BnOH,Carbonate,9.4,25.0,False,4,285.0,1.23,exclude,reaction-direction: whole experiment runs backwards,,,pH=filename;T=filename;substrate=filename;buffer=filename;has_enzyme=extracted (disputed),"has_enzyme: filename says True, extraction says False",mads_t079_t=25_pH=9.4_carbonate_0.1M_BnOH_with_E_H2O2_122.xls,
80,BnOH,Carbonate,9.4,25.0,False,4,285.0,1.23,use,,,,pH=filename;T=filename;substrate=filename;buffer=filename;has_enzyme=extracted (disputed),"has_enzyme: filename says True, extraction says False",mads_t080_t=25_pH=9.4_carbonate_0.1M_BnOH_with_E_H2O2_122.xls,
82,BnOH,Phosphate,7.5,25.0,True,4,285.0,1.23,exclude,flat progress curves in every sample; same-day sibling 83 normal,,,pH=filename;T=filename;substrate=filename;buffer=filename;has_enzyme=filename,,mads_t082_t=25_pH=7.5_phosphate_0.1M_BnOH_with_E_H2O2_122.xls,
83,BnOH,Phosphate,7.5,25.0,True,4,285.0,1.23,use,,,,pH=filename;T=filename;substrate=filename;buffer=filename;has_enzyme=filename,,mads_t083_t=25_pH=7.5_phosphate_0.1M_BnOH_with_E_H2O2_122.xls,
84,4OMe-BnOH,Phosphate,7.5,25.0,True,1,300.0,7.53,exclude,hand-sorted into data/Mads/'bad data',,,pH=filename;T=filename;substrate=extracted (disputed);buffer=filename;has_enzyme=filename,"substrate: filename says BnOH, extraction says 4OMe-BnOH",mads_t084_t=25_pH=7.5_phosphate_0.1M_BnOH_with_E_H2O2_122.xls,
85,4OMe-BnOH,Carbonate,11.84,25.0,True,7,300.0,7.53,use,,,,pH=extracted;T=filename;substrate=extracted (disputed);buffer=filename;has_enzyme=filename,"substrate: filename says BnOH, extraction says 4OMe-BnOH",mads_t085_t=25_Carbonate_0.1M_BnOH_with_E_H2O2_244.xls,
127,4OMe-BnOH,Pyrophosphate,7.29,25.0,True,4,300.0,7.53,use,,,,pH=extracted;T=filename;substrate=extracted;buffer=filename;has_enzyme=extracted,,mads_t127_t=25_sub H2O2_pyrophosphate_01.xls,
128,4OMe-BnOH,Pyrophosphate,7.29,25.0,True,5,300.0,7.53,use,,block;chain,"sample 5 is the reference row ""ref 5"" (a matched no-enzyme blank) with its own cuvette volume, not a 5th titration condition, so both its concentrations and its volume ratio differ from the measured cuvettes. Documented in DATA_VERIFICATION.md Round 4; the sample is already handled downstream.",pH=extracted;T=filename;substrate=extracted;buffer=filename;has_enzyme=extracted,,mads_t128_t=25_sub H2O2_pyrophosphate_02.xls,
129,4OMe-BnOH,Pyrophosphate,7.29,25.0,True,4,300.0,7.53,use,,,,pH=extracted;T=filename;substrate=extracted;buffer=filename;has_enzyme=extracted,,mads_t129_t=25_sub H2O2_pyrophosphate_03.xls,
130,4OMe-BnOH,Pyrophosphate,7.29,25.0,True,4,300.0,7.53,use,,,,pH=extracted;T=filename;substrate=extracted;buffer=filename;has_enzyme=extracted,,mads_t130_t=25_sub H2O2_pyrophosphate_04.xls,
131,4OMe-BnOH,Pyrophosphate,7.29,25.0,True,4,300.0,7.53,use,,,,pH=extracted;T=filename;substrate=extracted;buffer=filename;has_enzyme=extracted,,mads_t131_t=25_sub H2O2_pyrophosphate_05.xls,
135,BnOH,Pyrophosphate,7.7,25.0,True,7,285.0,1.23,use,,,,pH=filename;T=extracted;substrate=filename;buffer=extracted;has_enzyme=extracted,,"BnOH_pH_7,7_H2O2_163,16_#135.xls",
136,BnOH,Pyrophosphate,6.95,25.0,True,7,285.0,1.23,use,,,,pH=filename;T=extracted;substrate=filename;buffer=extracted;has_enzyme=extracted,,"BnOH_pH_6,95_H2O2_73,42_#136.xls",
137,BnOH,Pyrophosphate,7.53,25.0,True,7,285.0,1.23,use,,,,pH=filename;T=extracted;substrate=filename;buffer=extracted;has_enzyme=extracted,,"BnOH_pH_7,53_H2O2_73,42_#137.xls",
138,BnOH,Pyrophosphate,8.16,25.0,True,7,285.0,1.23,use,,,,pH=filename;T=extracted;substrate=filename;buffer=extracted;has_enzyme=extracted,,"BnOH_pH_8,16_H2O2_73,42_#138.xls",
139,BnOH,Pyrophosphate,8.51,25.0,True,7,285.0,1.23,use,,,,pH=filename;T=extracted;substrate=filename;buffer=extracted;has_enzyme=extracted,,"BnOH_pH_8,51_H2O2_73,42_#139.xls",
140,BnOH,Pyrophosphate,9.23,25.0,True,7,285.0,1.23,use,,,,pH=filename;T=extracted;substrate=filename;buffer=extracted;has_enzyme=extracted,,"BnOH_pH_9,23_H2O2_73,42_#140.xls",
141,BnOH,Pyrophosphate,9.15,25.0,True,7,285.0,1.23,use,,,,pH=filename;T=extracted;substrate=filename;buffer=extracted;has_enzyme=extracted,,"BnOH_pH_9,15_H2O2_73,42_#141.xls",
142,BnOH,Pyrophosphate,9.43,25.0,True,7,285.0,1.23,use,,,,pH=filename;T=extracted;substrate=filename;buffer=extracted;has_enzyme=extracted,,"BnOH_pH_9,43_H2O2_73,42_#142.xls",
143,BnOH,Pyrophosphate,9.73,25.0,True,7,285.0,1.23,use,,,,pH=filename;T=extracted;substrate=filename;buffer=extracted;has_enzyme=extracted,,"BnOH_pH_9,73_H2O2_35,24_#143.xls",
144,BnOH,Pyrophosphate,9.32,25.0,True,7,285.0,1.23,use,,,,pH=filename;T=extracted;substrate=filename;buffer=extracted;has_enzyme=extracted,,"BnOH_pH_9,32_H2O2_35,24_#144.xls",
145,BnOH,Pyrophosphate,9.04,25.0,True,7,285.0,1.23,use,,,,pH=filename;T=extracted;substrate=filename;buffer=extracted;has_enzyme=extracted,,"BnOH_pH_9,04_H2O2_35,24_#145.xls",
146,BnOH,Pyrophosphate,8.67,25.0,True,7,285.0,1.23,use,,,,pH=filename;T=extracted;substrate=filename;buffer=extracted;has_enzyme=extracted,,"BnOH_pH_8,67_H2O2_35,24_#146.xls",
147,BnOH,Pyrophosphate,8.02,25.0,True,7,285.0,1.23,use,,,,pH=filename;T=extracted;substrate=filename;buffer=extracted;has_enzyme=extracted,,"BnOH_pH_8,02_H2O2_35,24_#147.xls",
148,BnOH,Pyrophosphate,7.6,25.0,True,7,285.0,1.23,use,,,,pH=filename;T=extracted;substrate=filename;buffer=extracted;has_enzyme=extracted,,"BnOH_pH_7,6_H2O2_35,24_#148.xls",
149,BnOH,Pyrophosphate,7.1,25.0,True,7,285.0,1.23,use,,,,pH=filename;T=extracted;substrate=filename;buffer=extracted;has_enzyme=extracted,,"BnOH_pH_7,1_H2O2_35,25_#149.xls",
150,BnOH,Pyrophosphate,6.26,25.0,True,7,285.0,1.23,use,,,,pH=filename;T=extracted;substrate=filename;buffer=extracted;has_enzyme=extracted,,"BnOH_pH_6,26_H2O2_35,24_#150.xls",
151,BnOH,Pyrophosphate,5.47,25.0,True,7,285.0,1.23,use,,,,pH=filename;T=extracted;substrate=filename;buffer=extracted;has_enzyme=extracted,,"BnOH_pH_5,47_H2O2_35,24_#151.xls",
